"","undersample","ntry","mtry","Accuracy","Kappa","AccuracySD","KappaSD","trainingPixels"
"LC81470382013108_0",TRUE,1000,2,0.846752193995646,0.795562859854086,0.0131887044724632,0.0175513153131559,1464
"LC81470382013140_1",TRUE,1000,2,0.876368539526409,0.834984825958413,0.0125712867247424,0.0167372185435606,1392
"LC81470382013156_2",TRUE,1000,2,0.861070731973737,0.814557648500919,0.0122475657483992,0.0162988784201685,1364
"LC81470382013268_3",TRUE,1000,4,0.8583902713879,0.810956131128655,0.0124959640631718,0.0166455698595132,1396
"LC81470382013316_4",TRUE,1000,2,0.859646201772546,0.812705793798822,0.0138416746045584,0.0183823666214221,1356
"LC81470382013332_5",TRUE,1000,2,0.8467916971742,0.795561302683452,0.0115526108164194,0.0154781183052501,1416
"LC81470382014159_8",TRUE,1000,2,0.857501659202261,0.809860908219719,0.0154832744031575,0.020697339140637,1384
"LC81470382014191_9",TRUE,1000,4,0.846046499889072,0.794582497817402,0.0143344990934244,0.0190931557775808,1300
"LC81470382014239_10",TRUE,1000,2,0.864209336895687,0.818775105168025,0.014659996720264,0.0195779257634053,1380
"LC81470382014303_11",TRUE,1000,4,0.844365209955881,0.792319838360114,0.0166245312909229,0.022156731978022,1392
"LC81470382014319_12",TRUE,1000,4,0.844080883249694,0.79193193182685,0.0136743581007639,0.0182746656428521,1360
"LC81470382014335_13",TRUE,1000,2,0.837614738364537,0.783306821501806,0.0156953597938327,0.0209290725587332,1324
"LC81470382014351_14",TRUE,1000,2,0.844555895922677,0.792641940623727,0.0119279841846384,0.0158600710300588,1360
"LC81470382015018_15",TRUE,1000,2,0.843690849572553,0.791377840510705,0.0146460441526325,0.0195990458053273,1368
"LC81470382015082_16",TRUE,1000,2,0.881225017933308,0.841442254201014,0.0113485146371539,0.0151303623747888,1392
"LC81470382015114_17",TRUE,1000,2,0.845428660853728,0.793696040783449,0.0129004627854005,0.0172563990836004,1388
"LC81470382015178_18",TRUE,1000,2,0.813318685734105,0.750849662516703,0.0178331264464963,0.0239141220800304,936
"LC81470382015274_20",TRUE,1000,2,0.85688885098707,0.809001936048594,0.0144127240134586,0.0192273690745046,1344
"LC81470382015290_21",TRUE,1000,2,0.850079152882219,0.799955823855607,0.00986579024096831,0.0131228949198897,1360
"LC81470382015322_22",TRUE,1000,2,0.850869452551806,0.801090260448508,0.0086291274179268,0.0115217423701677,1364
"LC81470382016005_23",TRUE,1000,2,0.857959567577329,0.810517562828261,0.0140349454977391,0.0186846048023132,1356
"LC81470382016117_24",TRUE,1000,2,0.857052728644762,0.809275486445405,0.0123220048818312,0.0164764779162483,1388
"LC81470382016133_25",TRUE,1000,2,0.870940421146818,0.827747442946908,0.0135914642331728,0.0182077335340999,1432
"LC81470382016293_26",TRUE,1000,2,0.848417352298332,0.797809014597775,0.0148463190535159,0.0197522232299045,1412
"LC81470382016357_27",TRUE,1000,2,0.841878301801033,0.789050464647054,0.0188447810068486,0.0251212048075792,1400
"LC81470382017071_30",TRUE,1000,2,0.780081039895731,0.706566160482862,0.020431088847902,0.0272543022705883,772
